name,Region,Population,Area (sq. mi.),Pop. Density (per sq. mi.),Coastline (coast/area ratio),Net migration,Infant mortality (per 1000 births),GDP ($ per capita),Literacy (%),Phones (per 1000),Arable (%),Crops (%),Other (%),Climate,Birthrate,Deathrate,Agriculture,Industry,Service,name(zh),name(ru),Population_Quantile,Area_Quantile,Density_Quantile,GDP_Quantile,Infant_Mortality_Quantile,Literacy_Quantile,Industry_Quantile,Service_Quantile
Afghanistan ,ASIA (EX. NEAR EAST)         ,31056997.0,647500.0,48.0,"0,00","23,06",163.07,700.0,36.0,"3,2","12,13","0,22","87,65",1,"46,6","20,34","0,38",0.24,0.38,阿富汗,Афганистан,Q4,Q4,Q2,Q1,Q4,Q1,Q2,Q1
Albania ,EASTERN EUROPE                     ,3581655.0,28748.0,124.6,"1,26","-4,93",21.52,4500.0,86.5,"71,2","21,09","4,42","74,49",3,"15,11","5,22","0,232",0.188,0.579,阿尔巴尼亚,Албания,Q2,Q2,Q3,Q2,Q3,Q2,Q1,Q3
Algeria ,NORTHERN AFRICA                    ,32930091.0,2381740.0,13.8,"0,04","-0,39",31.0,6000.0,70.0,"78,1","3,22","0,25","96,53",1,"17,14","4,61","0,101",0.6,0.298,阿尔及利亚,Алжир,Q4,Q4,Q1,Q3,Q3,Q1,Q4,Q1
American Samoa ,OCEANIA                            ,57794.0,199.0,290.4,"58,29","-20,71",9.27,8000.0,97.0,"259,5",10,15,75,2,"22,46","3,27",,,,美属萨摩亚,Американское Самоа,Q1,Q1,Q4,Q3,Q2,Q3,,
Andorra ,WESTERN EUROPE                     ,71201.0,468.0,152.1,"0,00","6,6",4.05,19000.0,100.0,"497,2","2,22",0,"97,78",3,"8,71","6,25",,,,安道尔,Андорра,Q1,Q1,Q3,Q4,Q1,Q4,,
Angola ,SUB-SAHARAN AFRICA                 ,12127071.0,1246700.0,9.7,"0,13",0,191.19,1900.0,42.0,"7,8","2,41","0,24","97,35",,"45,11","24,2","0,096",0.658,0.246,安哥拉,Ангола,Q3,Q4,Q1,Q1,Q4,Q1,Q4,Q1
Anguilla ,LATIN AMER. & CARIB    ,13477.0,102.0,132.1,"59,80","10,76",21.03,8600.0,95.0,"460,0",0,0,100,2,"14,17","5,34","0,04",0.18,0.78,安圭拉,Ангилья,Q1,Q1,Q3,Q3,Q3,Q3,Q1,Q4
Antigua & Barbuda ,LATIN AMER. & CARIB    ,69108.0,443.0,156.0,"34,54","-6,15",19.46,11000.0,89.0,"549,9","18,18","4,55","77,27",2,"16,93","5,37","0,038",0.22,0.743,安提瓜和巴布达,Антигуа и Барбуда,Q1,Q1,Q3,Q3,Q2,Q2,Q2,Q4
Argentina ,LATIN AMER. & CARIB    ,39921833.0,2766890.0,14.4,"0,18","0,61",15.18,11200.0,97.1,"220,4","12,31","0,48","87,21",3,"16,73","7,55","0,095",0.358,0.547,阿根廷,Аргентина,Q4,Q4,Q1,Q3,Q2,Q3,Q4,Q2
Armenia ,C.W. OF IND. STATES ,2976372.0,29800.0,99.9,"0,00","-6,47",23.28,3500.0,98.6,"195,7","17,55","2,3","80,15",4,"12,07","8,23","0,239",0.343,0.418,亚美尼亚,Армения,Q2,Q2,Q3,Q2,Q3,Q4,Q4,Q1
Aruba ,LATIN AMER. & CARIB    ,71891.0,193.0,372.5,"35,49",0,5.89,28000.0,97.0,"516,1","10,53",0,"89,47",2,"11,03","6,68","0,004",0.333,0.663,阿鲁巴,Аруба,Q1,Q1,Q4,Q4,Q1,Q3,Q3,Q3
Australia ,OCEANIA                            ,20264082.0,7686850.0,2.6,"0,34","3,98",4.69,29000.0,100.0,"565,5","6,55","0,04","93,41",1,"12,14","7,51","0,038",0.262,0.7,澳大利亚,Австралия,Q4,Q4,Q1,Q4,Q1,Q4,Q2,Q4
